team_name,team_description,team_members,members_permission
BB-8,Mobile,andrey-paunov,False
BB-8,Mobile,christopher-ta,False
BB-8,Mobile,eduardo-palazzo,False
BB-8,Mobile,ginn-wang,False
BB-8,Mobile,hiutung-lee,False
BB-8,Mobile,lanxi-yang,False
BB-8,Mobile,nick-yaroslavtsev,False
BB-8,Mobile,Zhaolong-Zhu,False
defcon,Configuration and Automation of New Wave (Non product code contributor),alex-atkinson,True
defcon,Configuration and Automation of New Wave (Non product code contributor),clyde-fondop,True
defcon,Configuration and Automation of New Wave (Non product code contributor),igor-muntyan,True
defcon,Configuration and Automation of New Wave (Non product code contributor),ivan-carrion,True
defcon,Configuration and Automation of New Wave (Non product code contributor),KAR024215,False
defcon,Configuration and Automation of New Wave (Non product code contributor),leonid-finis,True
defcon,Configuration and Automation of New Wave (Non product code contributor),mykola-dolmatov,True
defcon,Configuration and Automation of New Wave (Non product code contributor),nw-admin,True
Falcon,Product Code Contributor,kumar-chikkanahalli,False
Falcon,Product Code Contributor,Monica-Junna,False
Falcon,Product Code Contributor,mykola-dolmatov,True
Falcon,Product Code Contributor,nagendra-murthy,False
Falcon,Product Code Contributor,Prashanth-Shankar,False
Falcon,Product Code Contributor,sarath-chandran,False
Falcon,Product Code Contributor,sathya-badi,False
Falcon,Product Code Contributor,sharath-b,False
Falcon,Product Code Contributor,Shyamal-Upadhyaya,False
Falcon,Product Code Contributor,Sreenivasulu-Thota,False
Falcon,Product Code Contributor,umesh-reddy,False
Falcon,Product Code Contributor,varadaraj-kamath,False
Readonly,Allow read only permission to all repositories (Non product code contributor),christopher-trudeau,False
Readonly,Allow read only permission to all repositories (Non product code contributor),mahesh-venkatesh,False
Readonly,Allow read only permission to all repositories (Non product code contributor),matt-decapua,False
Readonly,Allow read only permission to all repositories (Non product code contributor),mykola-dolmatov,True
Readonly,Allow read only permission to all repositories (Non product code contributor),Shyamal-Upadhyaya,False
Readonly,Allow read only permission to all repositories (Non product code contributor),srikanth-talapadi,False
Readonly,Allow read only permission to all repositories (Non product code contributor),wenjing-zhang,False
Ronin,Product Code Contributor,alain-benabdallah,False
Ronin,Product Code Contributor,cody-nie,False
Ronin,Product Code Contributor,david-myers,False
Ronin,Product Code Contributor,gia-diep,False
Ronin,Product Code Contributor,hari-nutakki,False
Ronin,Product Code Contributor,lin-zhang,False
Ronin,Product Code Contributor,mohammad-farhanmalik,False
Ronin,Product Code Contributor,mykola-dolmatov,True
Ronin,Product Code Contributor,ramneet-kaur,False
Ronin,Product Code Contributor,rinku-dalia,False
Ronin,Product Code Contributor,zhenyuan-yang,False
Tansformers,Product Code Contributor,ashok-nadadura,False
Tansformers,Product Code Contributor,chandan-kumar,False
Tansformers,Product Code Contributor,kiran-agre,False
Tansformers,Product Code Contributor,mykola-dolmatov,True
Tansformers,Product Code Contributor,nagendra-murthy,False
Tansformers,Product Code Contributor,sharath-b,False
Tansformers,Product Code Contributor,Shyamal-Upadhyaya,False
Tansformers,Product Code Contributor,sivakumar-sagi,False
Tansformers,Product Code Contributor,Suhel-Multani,False
Tansformers,Product Code Contributor,Vignesh-Sathish,False
Tansformers,Product Code Contributor,vijaykumar-kallur,False
Tesla,Product Code Contributor,alain-benabdallah,False
Tesla,Product Code Contributor,Danny-Arulmohan,False
Tesla,Product Code Contributor,david-myers,False
Tesla,Product Code Contributor,gia-diep,False
Tesla,Product Code Contributor,hari-nutakki,False
Tesla,Product Code Contributor,harvey-chen,False
Tesla,Product Code Contributor,igor-muntyan,True
Tesla,Product Code Contributor,jack-zhang,False
Tesla,Product Code Contributor,john-lee,False
Tesla,Product Code Contributor,michael-hornstein,False
Tesla,Product Code Contributor,mykola-dolmatov,True
Tesla,Product Code Contributor,Peter-Yinusa,False
Tesla,Product Code Contributor,saeed-ansari,False
Tesla,Product Code Contributor,shane-rhoden,False
Tesla,Product Code Contributor,zhenyuan-yang,False
